id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
2,18,0.0005,0.0001,100,518.67,642.45,1596.19,1403.2,14.62,21.61,553.64,2388.12,9049.76,1.3,47.3,521.52,2388.09,8127.02,8.4451,0.03,392,2388,100,38.83,23.2268
2,19,0.0005,0,100,518.67,642.37,1595.07,1405.63,14.62,21.61,553.73,2388.14,9041.39,1.3,47.4,521.87,2388.08,8130.19,8.4992,0.03,392,2388,100,38.77,23.3142
2,20,0.0039,0.0004,100,518.67,642.72,1589.15,1400.69,14.62,21.61,553.51,2388.12,9048.61,1.3,47.55,521.43,2388.15,8129.88,8.4578,0.03,393,2388,100,38.77,23.2495
2,21,-0.0038,-0.0003,100,518.67,642.32,1590.72,1402.4,14.62,21.61,553.3,2388.08,9047.49,1.3,47.62,521.44,2388.12,8134.08,8.4513,0.03,394,2388,100,38.89,23.3836
2,22,0.0005,0.0003,100,518.67,642.44,1585.48,1412.69,14.62,21.61,554.22,2388.05,9052.75,1.3,47.54,522.09,2388.09,8126.33,8.4271,0.03,393,2388,100,38.88,23.2475
2,23,-0.0003,0.0003,100,518.67,642.69,1591.13,1407.82,14.62,21.61,553.75,2388.15,9048.31,1.3,47.33,522.12,2388.11,8126.07,8.4435,0.03,393,2388,100,39.01,23.3193
2,24,0.001,-0.0004,100,518.67,643.17,1590.83,1408.84,14.62,21.61,553.43,2388.1,9054.48,1.3,47.45,521.66,2388.11,8137.07,8.4307,0.03,392,2388,100,39.03,23.2738
2,25,0.0014,-0.0004,100,518.67,643.33,1590.17,1404.7,14.62,21.61,553.24,2388.04,9052.54,1.3,47.52,521.62,2388.12,8133.08,8.4306,0.03,392,2388,100,38.86,23.3787
2,26,0.0012,0.0001,100,518.67,642.51,1587.04,1408.29,14.62,21.61,552.7,2388.16,9054.46,1.3,47.46,520.62,2388.1,8129.67,8.4081,0.03,392,2388,100,38.93,23.2403
2,27,-0.0009,0.0004,100,518.67,642.54,1596.98,1408.7,14.62,21.61,553.3,2388.16,9052.56,1.3,47.53,521.63,2388.11,8127.87,8.4669,0.03,393,2388,100,38.82,23.2959
2,28,-0.0008,0,100,518.67,642.16,1592.33,1404.59,14.62,21.61,553.75,2388.12,9044.3,1.3,47.47,521.19,2388.08,8129.68,8.4276,0.03,393,2388,100,38.76,23.357
2,29,-0.0015,-0.0004,100,518.67,642.43,1581.85,1401.94,14.62,21.61,553.82,2388.1,9048.68,1.3,47.37,521.15,2388.12,8124.7,8.4347,0.03,394,2388,100,39,23.3035
2,30,0.0015,0.0004,100,518.67,642.75,1583.78,1409.97,14.62,21.61,553.58,2388.12,9043.57,1.3,47.49,521.74,2388.11,8132.58,8.4629,0.03,393,2388,100,38.93,23.3048
2,31,0.0003,0.0002,100,518.67,642.77,1591.32,1402.47,14.62,21.61,553.46,2388.11,9045.86,1.3,47.53,521.41,2388.13,8129.54,8.4312,0.03,394,2388,100,38.74,23.3065
2,32,0.0032,0.0002,100,518.67,642.78,1594.31,1416.93,14.62,21.61,553.78,2388.16,9055.9,1.3,47.51,521.48,2388.11,8129.92,8.4061,0.03,394,2388,100,38.74,23.3139
2,33,-0.0006,-0.0003,100,518.67,642.53,1592.58,1405.06,14.62,21.61,553.85,2388.09,9048.95,1.3,47.49,521.41,2388.06,8127.13,8.4163,0.03,395,2388,100,39.02,23.3074
2,34,-0.0033,0.0001,100,518.67,642.43,1582.25,1409.15,14.62,21.61,554.02,2388.13,9048.31,1.3,47.54,521.87,2388.09,8126.81,8.4476,0.03,392,2388,100,38.97,23.2535
2,35,-0.0033,-0.0001,100,518.67,642.89,1597.36,1402.02,14.62,21.61,553.64,2388.09,9048.35,1.3,47.42,521.99,2388.14,8124.1,8.4593,0.03,393,2388,100,38.87,23.3074
2,36,-0.0017,0.0001,100,518.67,642.23,1584.89,1407.87,14.62,21.61,553.22,2388.12,9050.91,1.3,47.48,521.46,2388.12,8131.65,8.4211,0.03,393,2388,100,38.84,23.2243
2,37,0.0004,-0.0001,100,518.67,643.2,1581.9,1404.83,14.62,21.61,553.61,2388.11,9047.66,1.3,47.19,521.74,2388.16,8135.15,8.4178,0.03,393,2388,100,39.02,23.288
2,38,-0.0029,-0.0001,100,518.67,642.62,1588.47,1401.81,14.62,21.61,553.29,2388.1,9048.89,1.3,47.5,521.35,2388.12,8127.19,8.4541,0.03,393,2388,100,38.81,23.3641
2,39,0.0002,0.0004,100,518.67,642.98,1591.62,1405.46,14.62,21.61,553.49,2388.1,9049.71,1.3,47.58,521.75,2388.13,8128.53,8.4363,0.03,394,2388,100,38.67,23.3072
2,40,0.0023,0.0003,100,518.67,642.65,1590.33,1407.82,14.62,21.61,553.68,2388.16,9051.07,1.3,47.47,521.91,2388.12,8127.59,8.419,0.03,393,2388,100,38.74,23.3693
2,41,-0.0001,-0.0002,100,518.67,642.78,1595.98,1405.79,14.62,21.61,553.44,2388.08,9042.03,1.3,47.44,521.47,2388.1,8125.49,8.4247,0.03,393,2388,100,38.82,23.3411
2,42,-0.0039,-0.0002,100,518.67,642.74,1586.43,1409.1,14.62,21.61,553.91,2388.09,9045.09,1.3,47.45,521.51,2388.14,8126.66,8.4788,0.03,393,2388,100,38.88,23.2196
2,43,0.0014,0.0001,100,518.67,642.82,1588.4,1405.06,14.62,21.61,553.01,2388.11,9050.32,1.3,47.55,521.31,2388.15,8125.56,8.4927,0.03,392,2388,100,38.73,23.2775
2,44,-0.0023,0.0003,100,518.67,642.77,1591.75,1411.05,14.62,21.61,553.62,2388.12,9049.84,1.3,47.65,520.96,2388.13,8132.18,8.4366,0.03,392,2388,100,38.79,23.3533
2,45,-0.0029,0,100,518.67,642.48,1590.52,1406.2,14.62,21.61,553.85,2388.09,9045.99,1.3,47.5,521.65,2388.1,8128.22,8.4467,0.03,392,2388,100,38.95,23.2906
2,46,0.0026,-0.0002,100,518.67,642.84,1589.31,1401.67,14.62,21.61,553.83,2388.11,9045.35,1.3,47.42,521.04,2388.1,8128.82,8.4455,0.03,394,2388,100,38.88,23.231
2,47,-0.0029,-0.0004,100,518.67,642.85,1587.58,1403.23,14.62,21.61,554.24,2388.06,9052.32,1.3,47.5,522.23,2388.11,8128.77,8.4221,0.03,392,2388,100,38.88,23.2965
2,48,0.0011,-0.0001,100,518.67,642.64,1587.71,1411.96,14.62,21.61,553.3,2388.18,9046.73,1.3,47.44,521.32,2388.11,8125.65,8.4465,0.03,392,2388,100,38.99,23.2918
2,49,0.0018,-0.0001,100,518.67,642.55,1586.59,1410.83,14.62,21.61,553.52,2388.1,9044.77,1.3,47.67,521.74,2388.09,8126.9,8.4505,0.03,391,2388,100,38.81,23.2618
3,1,-0.0001,0.0001,100,518.67,642.03,1589.92,1408.39,14.62,21.61,553.4,2388.07,9053.65,1.3,47.71,522.2,2388.13,8131.17,8.433,0.03,392,2388,100,38.99,23.296
3,2,0.0039,-0.0003,100,518.67,642.23,1597.31,1407.9,14.62,21.61,553.74,2388.11,9041.49,1.3,47.44,521.19,2388.08,8132.69,8.4183,0.03,393,2388,100,38.84,23.3191
3,3,0.0006,0.0003,100,518.67,642.98,1586.77,1407.58,14.62,21.61,553.23,2388.06,9053.39,1.3,47.4,521.92,2388.09,8131.29,8.4017,0.03,391,2388,100,38.69,23.3774
3,4,-0.0011,-0.0001,100,518.67,642.42,1590.52,1401.42,14.62,21.61,553.31,2388.08,9051.03,1.3,47.66,521.59,2388.09,8134.41,8.4398,0.03,395,2388,100,38.72,23.3676
3,5,-0.0004,-0.0003,100,518.67,642.48,1583.09,1405.87,14.62,21.61,553.61,2388.16,9054.7,1.3,47.54,521.37,2388.09,8135.05,8.454,0.03,392,2388,100,38.81,23.2853
3,6,0.0004,0.0001,100,518.67,642.58,1589.1,1406.66,14.62,21.61,553.73,2388.1,9053.51,1.3,47.3,521.93,2388.1,8132.28,8.4054,0.03,394,2388,100,38.88,23.3089
3,7,-0.0009,-0.0003,100,518.67,642.64,1592.23,1397.15,14.62,21.61,553.32,2388.06,9057.38,1.3,47.63,521.79,2388.09,8127.39,8.4439,0.03,392,2388,100,38.95,23.316
3,8,0.0033,0,100,518.67,642.68,1588.26,1407.24,14.62,21.61,553.56,2388.09,9042.62,1.3,47.5,521.81,2388.08,8131.73,8.4626,0.03,393,2388,100,38.83,23.3569
3,9,-0.0036,-0.0002,100,518.67,642.55,1591.62,1403.38,14.62,21.61,553.08,2388.15,9045.07,1.3,47.52,521.28,2388.08,8136.76,8.4392,0.03,394,2388,100,38.91,23.2382
3,10,0.0017,0.0002,100,518.67,642.18,1596.44,1408.66,14.62,21.61,553.77,2388.09,9055.09,1.3,47.55,521.73,2388.11,8133.48,8.4405,0.03,392,2388,100,38.88,23.3538
3,11,0.0013,0.0003,100,518.67,642.36,1589.27,1404.58,14.62,21.61,553.44,2388.12,9054.78,1.3,47.53,521.47,2388.04,8137.15,8.463,0.03,394,2388,100,39.07,23.3507
3,12,-0.0002,-0.0004,100,518.67,642.94,1594.87,1406.67,14.62,21.61,553.55,2388.15,9057.97,1.3,47.31,521.78,2388.13,8131.48,8.4391,0.03,392,2388,100,38.88,23.3538
3,13,0.0019,0.0002,100,518.67,642.48,1588.36,1410.26,14.62,21.61,553.42,2388.09,9049.54,1.3,47.55,521.43,2388.11,8130.1,8.4479,0.03,394,2388,100,38.71,23.3281
3,14,-0.0003,-0.0004,100,518.67,642.67,1593,1404.23,14.62,21.61,554.39,2388.12,9058.86,1.3,47.45,521.67,2388.11,8132.05,8.4252,0.03,393,2388,100,38.77,23.2074
3,15,-0.0018,-0.0001,100,518.67,642.44,1586.67,1407.25,14.62,21.61,553.18,2388.13,9051.94,1.3,47.53,521.36,2388.11,8131.3,8.45,0.03,396,2388,100,38.86,23.276
3,16,0.0021,0,100,518.67,642.38,1592.5,1400.05,14.62,21.61,553.44,2388.08,9050.6,1.3,47.53,520.93,2388.1,8127.71,8.4246,0.03,393,2388,100,38.92,23.38
3,17,0.0003,0,100,518.67,642.83,1588.45,1405.4,14.62,21.61,553.81,2388.07,9051.43,1.3,47.59,521.58,2388.15,8128.93,8.4287,0.03,392,2388,100,38.81,23.3644
3,18,0.0015,0,100,518.67,642.61,1581.11,1409.15,14.62,21.61,553.79,2388.1,9049.56,1.3,47.61,521.2,2388.08,8135.06,8.3918,0.03,393,2388,100,38.87,23.1391
3,19,0.003,-0.0002,100,518.67,642.92,1587.4,1410.35,14.62,21.61,553.94,2388.13,9050.03,1.3,47.57,521.28,2388.09,8136.31,8.4564,0.03,393,2388,100,39,23.2953
3,20,0.0004,-0.0002,100,518.67,642.28,1588.87,1410.34,14.62,21.61,553.36,2388.09,9053.85,1.3,47.59,521.58,2388.13,8133.81,8.4204,0.03,394,2388,100,38.88,23.2801
3,21,0.0006,0,100,518.67,642.38,1586.06,1406.87,14.62,21.61,552.7,2388.12,9055.01,1.3,47.53,521.67,2388.08,8131.69,8.4211,0.03,394,2388,100,38.94,23.3336
3,22,0.0008,0.0002,100,518.67,642.68,1586.63,1402.35,14.62,21.61,553.01,2388.11,9051.59,1.3,47.57,521.59,2388.17,8131.85,8.4427,0.03,392,2388,100,38.83,23.3078
3,23,0.0016,-0.0001,100,518.67,642.68,1588.75,1406.58,14.62,21.61,553.08,2388.13,9061.14,1.3,47.44,521.35,2388.13,8126.12,8.4685,0.03,395,2388,100,38.85,23.3001
3,24,0.0015,-0.0002,100,518.67,642.77,1591.61,1401.64,14.62,21.61,553.6,2388.1,9051.33,1.3,47.43,521.74,2388.12,8134.28,8.4284,0.03,392,2388,100,38.78,23.3497
3,25,0,0.0002,100,518.67,642.52,1594.78,1407.93,14.62,21.61,552.86,2388.1,9055.62,1.3,47.69,521.53,2388.14,8133.84,8.4647,0.03,394,2388,100,38.87,23.2521
3,26,0.0039,0.0001,100,518.67,642.61,1588.91,1401.57,14.62,21.61,553.76,2388.15,9050.23,1.3,47.46,521.21,2388.09,8129.94,8.4526,0.03,394,2388,100,38.93,23.3734
3,27,0.0018,0.0001,100,518.67,642.91,1586.55,1406.9,14.62,21.61,553.06,2388.14,9046.59,1.3,47.58,521.62,2388.11,8135.43,8.4141,0.03,393,2388,100,39.06,23.2117
3,28,-0.0019,0.0004,100,518.67,642.68,1586.87,1404.55,14.62,21.61,553.3,2388.13,9054.83,1.3,47.6,522.16,2388.08,8130.71,8.4349,0.03,393,2388,100,38.97,23.3014
3,29,0.0007,-0.0003,100,518.67,642.93,1586.1,1410.46,14.62,21.61,553.36,2388.1,9061.25,1.3,47.46,521.33,2388.08,8137.46,8.4154,0.03,394,2388,100,38.79,23.4114
3,30,-0.001,0.0001,100,518.67,643.44,1589.93,1409.81,14.62,21.61,553.94,2388.1,9058.13,1.3,47.57,520.83,2388.09,8134.51,8.438,0.03,395,2388,100,38.67,23.3157
3,31,0.0003,-0.0002,100,518.67,643.28,1585.97,1410.98,14.62,21.61,553.21,2388.08,9050.18,1.3,47.59,521.27,2388.1,8134.51,8.4581,0.03,394,2388,100,38.87,23.3326
3,32,0.0035,-0.0002,100,518.67,642.66,1586.34,1405.97,14.62,21.61,553.3,2388.11,9054.94,1.3,47.58,521.75,2388.05,8130.2,8.427,0.03,392,2388,100,38.85,23.3343
3,33,0.0076,0.0004,100,518.67,643.39,1596.15,1417.42,14.62,21.61,553.15,2388.11,9055.79,1.3,47.54,521.43,2388.15,8134.88,8.4398,0.03,393,2388,100,38.84,23.2196
3,34,-0.0024,0.0001,100,518.67,642.47,1584.06,1413.43,14.62,21.61,553.63,2388.13,9061.97,1.3,47.69,521.15,2388.14,8124.43,8.4408,0.03,394,2388,100,38.66,23.2639
3,35,0.0018,0,100,518.67,642.56,1589.74,1407.48,14.62,21.61,553.68,2388.05,9046.35,1.3,47.41,521.38,2388.14,8132.54,8.4572,0.03,393,2388,100,38.79,23.3207
3,36,-0.0035,-0.0003,100,518.67,642.43,1593.83,1403.73,14.62,21.61,553.17,2388.15,9054.11,1.3,47.55,521.24,2388.09,8132.01,8.4606,0.03,392,2388,100,38.72,23.2926
3,37,0.0038,-0.0003,100,518.67,642.14,1585.67,1407.71,14.62,21.61,553.26,2388.09,9046.7,1.3,47.53,521.38,2388.11,8131.82,8.4322,0.03,393,2388,100,38.82,23.2423
3,38,0.0019,0.0002,100,518.67,642.85,1596.84,1409.5,14.62,21.61,554.06,2388.09,9053.4,1.3,47.6,521.61,2388.13,8131.34,8.4477,0.03,392,2388,100,38.74,23.4023
3,39,0.0005,-0.0005,100,518.67,642.63,1593.97,1406.25,14.62,21.61,553.19,2388.11,9052.78,1.3,47.55,520.79,2388.09,8129.68,8.4034,0.03,393,2388,100,38.75,23.3069
3,40,-0.0004,-0.0005,100,518.67,642.52,1588.58,1407.3,14.62,21.61,553.38,2388.16,9053.33,1.3,47.57,521.66,2388.18,8132.02,8.4341,0.03,393,2388,100,38.73,23.303
3,41,-0.0047,-0.0005,100,518.67,642.94,1596.7,1406.09,14.62,21.61,553.78,2388.15,9048.09,1.3,47.49,521.34,2388.12,8137.15,8.4601,0.03,393,2388,100,38.85,23.4
3,42,-0.0011,-0.0004,100,518.67,642.74,1590.47,1415.23,14.62,21.61,552.79,2388.13,9051.32,1.3,47.36,521.37,2388.1,8134.08,8.4292,0.03,393,2388,100,38.75,23.312
3,43,0.0017,0.0001,100,518.67,643.02,1589.26,1413.2,14.62,21.61,553.34,2388.11,9052.23,1.3,47.5,521.59,2388.1,8134.12,8.4194,0.03,394,2388,100,38.84,23.4232
3,44,-0.0019,0,100,518.67,642.16,1586.46,1410.72,14.62,21.61,552.95,2388.13,9055.43,1.3,47.59,521.77,2388.14,8133.77,8.4204,0.03,394,2388,100,38.74,23.3035
3,45,0.0003,-0.0004,100,518.67,642.55,1588.36,1405.75,14.62,21.61,552.3,2388.13,9058.3,1.3,47.57,521,2388.14,8125.84,8.4227,0.03,394,2388,100,38.86,23.3064
3,46,-0.0006,-0.0002,100,518.67,642.45,1587.99,1401.94,14.62,21.61,553.75,2388.09,9055.86,1.3,47.55,521.21,2388.09,8127.02,8.421,0.03,393,2388,100,38.83,23.1494
3,47,0.0015,-0.0005,100,518.67,642.63,1587.05,1407.79,14.62,21.61,553.6,2388.14,9051.69,1.3,47.56,520.81,2388.11,8137.44,8.4516,0.03,394,2388,100,38.88,23.3113
3,48,0.0008,0,100,518.67,642.26,1586.63,1411.59,14.62,21.61,553.31,2388.08,9056.76,1.3,47.58,521.85,2388.09,8135.46,8.4567,0.03,393,2388,100,38.9,23.2519
3,49,0.0016,-0.0003,100,518.67,642.29,1592.85,1406.74,14.62,21.61,553.64,2388.12,9047.48,1.3,47.54,521.54,2388.08,8131.23,8.4352,0.03,394,2388,100,38.85,23.1975
3,50,-0.0024,0.0001,100,518.67,642.62,1590.17,1412.49,14.62,21.61,552.57,2388.11,9054.14,1.3,47.68,521.54,2388.07,8133.81,8.4672,0.03,393,2388,100,38.71,23.3445
3,51,0.0016,0.0003,100,518.67,642.61,1588.68,1406.19,14.62,21.61,552.7,2388.11,9045.08,1.3,47.4,521.36,2388.12,8132.27,8.4294,0.03,393,2388,100,38.6,23.2918
3,52,0.0004,-0.0004,100,518.67,642.77,1588.89,1406.76,14.62,21.61,553.04,2388.11,9054.14,1.3,47.43,522.1,2388.11,8133.85,8.4344,0.03,392,2388,100,38.91,23.3043
3,53,-0.0034,-0.0001,100,518.67,642.53,1588.86,1409.88,14.62,21.61,553.24,2388.13,9046.64,1.3,47.6,521.25,2388.13,8126.83,8.4125,0.03,393,2388,100,38.72,23.3259
3,54,0.0006,0.0003,100,518.67,642.6,1596.47,1408.82,14.62,21.61,553.6,2388.12,9054.38,1.3,47.52,521.3,2388.12,8134.63,8.4334,0.03,393,2388,100,38.92,23.2866
3,55,-0.007,0,100,518.67,642.77,1591.57,1409.51,14.62,21.61,554.42,2388.18,9051.92,1.3,47.63,521.23,2388.11,8132.55,8.4423,0.03,392,2388,100,39,23.2989
3,56,-0.0018,-0.0005,100,518.67,642.48,1594.76,1407.64,14.62,21.61,552.96,2388.12,9051.64,1.3,47.45,521.72,2388.11,8128.25,8.4621,0.03,392,2388,100,38.89,23.3532
3,57,-0.0031,0,100,518.67,642.3,1588.4,1409.37,14.62,21.61,553.88,2388.18,9058.79,1.3,47.69,521.32,2388.15,8127.92,8.4406,0.03,392,2388,100,38.76,23.2571
3,58,0.0003,-0.0002,100,518.67,642.21,1596.72,1416.17,14.62,21.61,553.24,2388.15,9055.83,1.3,47.6,521.08,2388.14,8129.73,8.4903,0.03,393,2388,100,38.86,23.3165
3,59,-0.0002,-0.0001,100,518.67,642.92,1589.09,1406.51,14.62,21.61,552.79,2388.1,9052.43,1.3,47.49,520.91,2388.12,8133.07,8.4042,0.03,394,2388,100,38.89,23.2791
3,60,-0.001,0.0003,100,518.67,642.7,1586.17,1411.97,14.62,21.61,553.14,2388.15,9052.17,1.3,47.45,521.4,2388.07,8129.02,8.4746,0.03,394,2388,100,38.79,23.2657
3,61,0.0001,0.0002,100,518.67,642.26,1594.76,1408.88,14.62,21.61,553.74,2388.12,9049.64,1.3,47.59,521.19,2388.08,8135.7,8.4224,0.03,395,2388,100,38.85,23.2423
3,62,0.0008,0.0003,100,518.67,642.5,1594.72,1396.96,14.62,21.61,553.83,2388.15,9054.32,1.3,47.57,521.52,2388.11,8129.64,8.412,0.03,393,2388,100,38.71,23.2947
3,63,-0.0004,0,100,518.67,642.93,1588.79,1402.3,14.62,21.61,552.62,2388.18,9050.53,1.3,47.59,520.85,2388.13,8127.58,8.4595,0.03,393,2388,100,38.9,23.2126
3,64,-0.0014,-0.0004,100,518.67,643.09,1584.76,1410.91,14.62,21.61,554.3,2388.06,9057.67,1.3,47.43,521.04,2388.13,8128.41,8.4524,0.03,392,2388,100,38.99,23.1985
3,65,-0.0005,0.0001,100,518.67,642.86,1591.13,1403.62,14.62,21.61,552.99,2388.15,9057.11,1.3,47.37,520.79,2388.15,8132.1,8.4622,0.03,392,2388,100,38.62,23.2824
3,66,0.0043,0.0001,100,518.67,642.36,1593.86,1403.67,14.62,21.61,552.98,2388.06,9052.31,1.3,47.43,521.48,2388.16,8127.64,8.4539,0.03,393,2388,100,38.76,23.2206
3,67,-0.0017,0.0002,100,518.67,642.58,1588.38,1407.19,14.62,21.61,553.59,2388.12,9050.14,1.3,47.49,521.1,2388.09,8129.96,8.427,0.03,394,2388,100,38.91,23.3668
3,68,-0.0017,-0.0005,100,518.67,642.61,1587.1,1402.64,14.62,21.61,553.24,2388.11,9052.55,1.3,47.66,521.82,2388.12,8123.9,8.5025,0.03,394,2388,100,38.8,23.1527
3,69,-0.0006,-0.0004,100,518.67,642.73,1593.78,1408.36,14.62,21.61,552.93,2388.13,9046.33,1.3,47.72,521.21,2388.1,8129.83,8.4246,0.03,393,2388,100,38.74,23.1786
3,70,0.0047,0.0003,100,518.67,642.8,1590.88,1403.08,14.62,21.61,553.58,2388.1,9053.71,1.3,47.5,521.28,2388.14,8133.05,8.4304,0.03,393,2388,100,38.75,23.2726
3,71,0.0011,-0.0003,100,518.67,642.2,1592.03,1411.56,14.62,21.61,553.39,2388.11,9056.75,1.3,47.43,521.48,2388.09,8128.52,8.4327,0.03,393,2388,100,38.75,23.2822
3,72,0.002,-0.0001,100,518.67,643.25,1588.93,1398.3,14.62,21.61,553.1,2388.18,9054.33,1.3,47.48,520.83,2388.15,8134.98,8.4195,0.03,393,2388,100,38.71,23.2961
3,73,-0.0017,-0.0004,100,518.67,642.94,1582.79,1414.7,14.62,21.61,553.6,2388.14,9057.19,1.3,47.59,520.87,2388.11,8129.7,8.4571,0.03,393,2388,100,38.89,23.3894
3,74,0.0026,-0.0001,100,518.67,642.46,1588.15,1408.27,14.62,21.61,553.46,2388.16,9051.61,1.3,47.61,521.5,2388.14,8127.69,8.4202,0.03,395,2388,100,38.91,23.2759
3,75,0.001,0.0005,100,518.67,642.91,1589.72,1410.16,14.62,21.61,553.7,2388.16,9051.31,1.3,47.54,521.43,2388.14,8131.96,8.4519,0.03,395,2388,100,38.84,23.3069
3,76,0.001,-0.0005,100,518.67,642.27,1587.92,1400.94,14.62,21.61,552.57,2388.08,9050.24,1.3,47.67,521.16,2388.09,8133.83,8.4511,0.03,395,2388,100,38.72,23.1899
3,77,-0.0026,0.0004,100,518.67,642.52,1589.54,1417.26,14.62,21.61,552.92,2388.11,9053.65,1.3,47.68,521.46,2388.1,8133.66,8.4274,0.03,392,2388,100,38.75,23.2234
3,78,-0.0018,0.0001,100,518.67,642.58,1592.56,1410.4,14.62,21.61,553.29,2388.16,9046.23,1.3,47.58,521.31,2388.07,8131.09,8.4387,0.03,394,2388,100,38.98,23.3004
3,79,0.0002,-0.0003,100,518.67,642.66,1586.45,1412.77,14.62,21.61,553.18,2388.14,9052.76,1.3,47.7,521.32,2388.12,8126.75,8.4554,0.03,392,2388,100,38.96,23.2545
3,80,0.0018,0.0003,100,518.67,642.95,1595.2,1406.33,14.62,21.61,554.02,2388.12,9058.67,1.3,47.68,521.46,2388.08,8129.14,8.4259,0.03,394,2388,100,38.93,23.3744
3,81,-0.0013,0,100,518.67,642.2,1592.56,1402.49,14.62,21.61,553.49,2388.1,9052.17,1.3,47.7,520.99,2388.15,8130.23,8.4128,0.03,392,2388,100,38.86,23.1784
3,82,0.0052,-0.0004,100,518.67,642.62,1586.48,1404.24,14.62,21.61,553.22,2388.07,9047.31,1.3,47.45,521.18,2388.11,8124.06,8.4639,0.03,393,2388,100,38.66,23.3263
3,83,-0.001,-0.0003,100,518.67,642.73,1592.66,1411.4,14.62,21.61,553.3,2388.14,9050.66,1.3,47.71,521.37,2388.17,8132.57,8.4333,0.03,393,2388,100,38.86,23.2346
3,84,0.0039,0.0001,100,518.67,642.72,1591.55,1409.58,14.62,21.61,553.13,2388.16,9053.21,1.3,47.59,521.23,2388.13,8134.98,8.4715,0.03,395,2388,100,38.78,23.2962
3,85,-0.001,0.0005,100,518.67,642.75,1591.29,1407.71,14.62,21.61,552.91,2388.09,9056.05,1.3,47.58,521.01,2388.14,8133.36,8.4406,0.03,393,2388,100,38.78,23.3777
